,author,title,publisher,year,paper_len,num_parg,label,y_raw,0,1,2,3,4,5
0,Zhijun Wang,Quantitative determination of the lattice constant in high entropy alloys,Scripta Materialia,2019,1242,13,Wang_2019_Quantitative determination of the,1,-2.5551584912774445,3.2794248972121807,6.595217398570013,4.279999836712436,-7.774375549774199,7.018712282372151
1,Dariusz Oleszak,High entropy multicomponent WMoNbZrV alloy processed by mechanical alloying,Materials Letters,2018,796,14,Oleszak_2018_High entropy multicomponent WMoNbZrV,2,9.216616936907865,2.5581646271778755,-1.7334763569836,-2.829823109176188,1.8174935307765914,9.328327553643396
2,Shuo Huang,Mapping the magnetic transition temperatures for medium- and highentropy alloy,Intermetallics,2018,1123,15,Huang_2018_Mapping the magnetic transition,1,-9.393979348015888,-2.772150575697405,-13.958292519548133,5.869472875986304,14.490569317248916,2.987070124952673
3,Vikas Shivam,"Mechano-chemical synthesis, thermal stability and phase evolution in AlCoCrFeNiMn high entropy alloy",Journal of Alloys and Compounds,2018,3029,24,"Shivam_2018_Mechano-chemical synthesis, thermal stability",2,12.180536161998898,-2.3111744038151256,-6.768532925238319,-11.765480665426857,-4.134131071121106,6.737289170352556
4,Binglun Yin,First-principles-based prediction of yield strength in the RhIrPdPtNiCu high-entropy alloy,Computational Materials,2019,2838,30,Yin_2019_First-principles-based prediction of yield,1,-20.237438131903417,0.5838427011765129,-3.551808630121811,-9.755489844332297,-6.590758320232327,-1.5730352963613128
5,A.S. Rogachev,Structure and properties of equiatomic CoCrFeNiMn alloy fabricated by high-energy ball milling and spark plasma sintering,Journal of Alloys and Compounds,2019,2324,26,Rogachev_2019_Structure and properties of,2,6.291996036760357,-1.2041677571165215,-2.647182601374349,-5.7664568595589,3.30598306229325,-5.319317047037693
6,Zhi-biao Yang,"Assessing elastic property and solid-solution strengthening of binary Ni–Co, Ni–Cr, and ternary Ni–Co–Cr alloys from first-principles theory",Journal of Materials Research,2018,2045,18,Yang_2018_Assessing elastic property and,1,-3.3539265223912977,6.431344391597657,6.337123162981546,6.177164745652695,3.0247502427963795,2.542398170822594
7,Azmi Erdogan,Fast production of high entropy alloys (CoCrFeNiAlxTiy) by electric current activated sintering system,Vacuum,2018,1733,21,Erdogan_2018_Fast production of high,2,7.0408711611100205,-0.03702734770737168,0.5838610839462598,-6.7625882666012584,4.759360743591859,-8.254207900602635
8,Fuxiang Zhang,Chemical complexity induced local structural distortion in NiCoFeMnCr high-entropy alloy,Materials Research Letters,2018,1321,11,Zhang_2018_Chemical complexity induced local,1,2.128596041766457,3.4259759579385682,2.7773210340035477,6.01706304330289,-2.1295631354755797,7.195493704468279
9,Sze-Kwan Wong,Microstructures and properties of Al0.3CoCrFeNiMnx high-entropy alloys,Materials Chemistry and Physics,2018,977,12,Wong_2018_Microstructures and properties of,1,1.934474192235827,5.491138859631938,7.446879905745057,-0.2968089203851805,-0.039336244766892514,-11.715954580367217
10,Binglun Yin,Vanadium is an optimal element for strengthening in both fcc and bcc high-entropy alloys,Acta Materialia,2020,1773,19,Yin_2020_Vanadium is an optimal,1,-9.310556529400483,3.1960449681379623,-0.24870833645863571,-5.505893340101284,-4.205700440065883,0.3815793113033377
11,Karoline Stolze,High-entropy alloy superconductors on an a-Mn lattice,Journal of Materials Chemistry,2018,2425,28,Stolze_2018_High-entropy alloy superconductors on,1,5.199931267632404,-4.591964422894734,-12.597922206929358,13.187719251136281,-12.121057937974442,-7.386377002097879
12,Y.L. Hu,First-principle calculation investigation of NbMoTaW based refractory high entropy alloys,Journal of Alloys and Compounds,2020,1731,20,Hu_2020_First-principle calculation investigation of,0,-0.987965452943425,4.456267491017499,3.671949998907731,1.923930697151699,5.748952319548693,-1.88524991175743
13,H. Chen,Contribution of Lattice Distortion to Solid Solution Strengthening in a Series of Refractory High Entropy Alloys,Metallurgical and materials transactions,2017,3225,35,Chen_2017_Contribution of Lattice Distortion,1,-1.9344345753243997,-24.185481424980843,10.622811214940343,1.2736010868774645,1.4118835144911506,1.0682816230931493
14,V. Gorban,Role of Various Parameters in the Formation of the Physicomechanical Properties of High-Entropy Alloys with BCC Lattices,Physics of Metals and Metallography,2017,929,21,Gorban_2017_Role of Various Parameters,3,3.780437252844526,5.679762038321817,3.4707597775597203,3.9535894687622113,2.4359299686635807,-1.1250102027839688
